"","PCType","Sex","Category","Age","Party"
"451","3","2","3","2","SP"
"452","3","2","3","2","SP"
"453","3","2","3","3","BJP"
"454","3","2","3","3","BSP"
"455","3","2","3","2","SP"
"456","2","2","2","3","SP"
"457","2","2","2","2","AIFB"
"458","1","2","1","3","RSP"
"459","2","2","2","3","CPM"
"460","3","2","3","3","BJP"
"461","3","1","3","2","INC"
"462","3","2","3","3","RSP"
"463","3","1","3","2","INC"
"464","3","2","3","3","INC"
"465","3","2","3","3","INC"
"466","3","2","3","3","INC"
"467","3","2","3","3","INC"
"468","3","2","3","3","AITC"
"469","2","2","2","3","AITC"
"470","2","2","2","3","AITC"
"471","3","2","3","3","AITC"
"472","3","2","3","3","AITC"
"473","3","1","3","2","AITC"
"474","3","2","3","2","AITC"
"475","2","2","2","2","IND"
"476","2","2","2","3","AITC"
"477","3","2","3","3","AITC"
"478","3","2","3","3","AITC"
"479","3","1","3","3","AITC"
"480","3","2","3","3","AITC"
"481","3","2","3","1","AITC"
"482","3","2","3","3","AITC"
"483","3","2","3","3","AITC"
"484","3","1","3","3","AITC"
"485","2","2","2","2","CPM"
"486","3","2","3","2","AITC"
"487","3","2","3","3","AITC"
"488","3","2","3","3","CPI"
"489","1","2","1","2","CPM"
"490","3","2","3","3","CPI"
"491","3","2","3","3","AIFB"
"492","3","2","3","3","CPM"
"493","2","1","2","2","CPM"
"494","2","2","2","3","CPM"
"495","3","2","3","3","CPM"
"496","3","2","3","2","CPM"
"497","2","2","2","3","CPM"
"498","3","1","3","2","AITC"
"499","1","2","1","2","BJP"
"500","1","2","1","2","BJP"
"501","2","1","2","2","BJP"
"502","3","2","3","3","INC"
"503","3","2","3","3","BJP"
"504","3","2","3","2","BJP"
"505","3","1","3","2","BJP"
"506","3","2","3","3","BJP"
"507","3","2","3","2","BJP"
"508","1","2","1","3","BJP"
"509","1","2","1","2","BJP"
"510","1","2","1","3","BJP"
"511","1","2","1","3","JMM"
"512","3","2","3","2","BJP"
"513","3","2","3","3","IND"
"514","3","2","1","3","JVM"
"515","3","2","3","2","BJP"
"516","3","2","3","3","BJP"
"517","3","2","3","3","INC"
"518","3","2","1","2","BJP"
"519","1","2","1","2","IND"
"520","1","2","1","3","BJP"
"521","1","2","1","2","BJP"
"522","2","2","2","3","JMM"
"523","3","2","3","3","BJP"
"524","3","2","3","3","INC"
"525","3","2","3","3","INC"
"526","2","2","2","2","INC"
"527","3","2","3","3","INC"
"528","3","2","3","3","INC"
"529","3","2","3","3","BJP"
"530","3","2","3","3","INC"
"531","3","2","1","2","BJP"
"532","3","2","3","3","BJP"
"533","3","2","3","3","INC"
"534","3","2","3","3","INC"
"535","3","2","3","2","INC"
"536","3","2","3","2","INC"
"537","2","1","2","3","INC"
"538","3","2","3","3","INC"
"539","3","2","3","3","INC"
"540","1","2","1","2","INC"
"541","3","2","3","3","INC"
