PCName,PCType,Sex,Category,Age,Party
Amroha,GEN,M,GEN,38,RLD
Meerut,GEN,M,GEN,57,BJP
Baghpat,GEN,M,GEN,70,RLD
Ghaziabad,GEN,M,GEN,57,BJP
Gautam buddh Nagar,GEN,M,GEN,44,BSP
Bulandshahr,SC,M,SC,43,SP
Aligarh,GEN,F,GEN,46,BSP
Hathras,SC,F,SC,29,RLD
Mathura,GEN,M,GEN,30,RLD
Agra,SC,M,SC,43,BJP
Fatehpur sikri,GEN,F,GEN,44,BSP
Firozabad,GEN,M,GEN,35,SP
Mainpuri,GEN,M,GEN,69,SP
Etah,GEN,M,GEN,78,IND
Badaun,GEN,M,GEN,30,SP
Aonla,GEN,F,GEN,52,BJP
Bareilly,GEN,M,GEN,50,INC
Pilibhit,GEN,M,GEN,29,BJP
Shahjahanpur,SC,M,SC,48,SP
Kheri,GEN,M,GEN,61,INC
Dhaurahra,GEN,M,GEN,36,INC
Sitapur,GEN,F,GEN,35,BSP
Hardoi,SC,F,SC,43,SP
Misrikh,SC,M,SC,42,BSP
Unnao,GEN,F,GEN,51,INC
Mohanlalganj,SC,F,SC,58,SP
Lucknow,GEN,M,GEN,73,BJP
Rae bareli,GEN,F,GEN,62,INC
Amethi,GEN,M,GEN,38,INC
Sultanpur,GEN,M,GEN,55,INC
Pratapgarh,GEN,F,GEN,49,INC
Farrukhabad,GEN,M,GEN,56,INC
Etawah,SC,M,SC,49,SP
Kannauj,GEN,M,GEN,35,SP
Kanpur,GEN,M,GEN,64,INC
Akbarpur,GEN,M,GEN,48,INC
Jalaun,SC,M,SC,35,SP
Jhansi,GEN,M,GEN,47,INC
Hamirpur,GEN,M,GEN,65,BSP
Banda,GEN,M,GEN,49,SP
Fatehpur,GEN,M,GEN,53,SP
Kaushambi,SC,M,SC,51,SP
Phulpur,GEN,M,GEN,42,BSP
Allahabad,GEN,M,GEN,65,SP
Barabanki,SC,M,SC,64,INC
Faizabad,GEN,M,GEN,58,INC
Ambedkar Nagar,GEN,M,GEN,55,BSP
Bahraich,SC,M,SC,57,INC
Kaiserganj,GEN,M,GEN,52,SP
Shrawasti,GEN,M,GEN,45,INC
Gonda,GEN,M,GEN,68,INC
Domariyaganj,GEN,M,GEN,59,INC
Basti,GEN,M,GEN,43,BSP
Sant kabir Nagar,GEN,M,GEN,44,BSP
Maharajganj,GEN,M,GEN,61,INC
Gorakhpur,GEN,M,GEN,36,BJP
Kushi Nagar,GEN,M,GEN,45,INC
Deoria,GEN,M,GEN,72,BSP
Bansgaon,SC,M,SC,33,BJP
Lalganj,SC,M,SC,56,BSP
Azamgarh,GEN,M,GEN,49,BJP
Ghosi,GEN,M,GEN,50,BSP
Salempur,GEN,M,GEN,48,BSP
Ballia,GEN,M,GEN,40,SP
Jaunpur,GEN,M,GEN,33,BSP
Machhlishahr,SC,M,SC,48,SP
Ghazipur,GEN,M,GEN,43,SP
Chandauli,GEN,M,GEN,49,SP
Varanasi,GEN,M,GEN,73,BJP
Bhadohi,GEN,M,GEN,56,BSP
Mirzapur,GEN,M,GEN,48,SP
Robertsganj,SC,M,SC,57,SP
Cooch behar,SC,M,SC,49,AIFB
Alipurduars,ST,M,ST,54,RSP
Jalpaiguri,SC,M,SC,54,CPM
Darjeeling,GEN,M,GEN,70,BJP
Raiganj,GEN,F,GEN,48,INC
Balurghat,GEN,M,GEN,68,RSP
Maldaha Uttar,GEN,F,GEN,27,INC
Maldaha Dakshin,GEN,M,GEN,65,INC
Jangipur,GEN,M,GEN,72,INC
Baharampur,GEN,M,GEN,53,INC
Murshidabad,GEN,M,GEN,56,INC
Krishnanagar,GEN,M,GEN,51,AITC
Ranaghat,SC,M,SC,69,AITC
Bangaon,SC,M,SC,67,AITC
Barrackpore,GEN,M,GEN,58,AITC
Dum dum,GEN,M,GEN,61,AITC
Barasat,GEN,F,GEN,49,AITC
Basirhat,GEN,M,GEN,46,AITC
Joynagar,SC,M,SC,50,IND
Mathurapur,SC,M,SC,71,AITC
Diamond harbour,GEN,M,GEN,68,AITC
Jadavpur,GEN,M,GEN,59,AITC
Kolkata Dakshin,GEN,F,GEN,54,AITC
Kolkata Uttar,GEN,M,GEN,57,AITC
Howrah,GEN,M,GEN,82,AITC
Uluberia,GEN,M,GEN,56,AITC
Srerampur,GEN,M,GEN,52,AITC
Hooghly,GEN,F,GEN,57,AITC
Arambagh,SC,M,SC,49,CPM
Tamluk,GEN,M,GEN,39,AITC
Kanthi,GEN,M,GEN,69,AITC
Ghatal,GEN,M,GEN,73,CPI
Jhargram,ST,M,ST,40,CPM
Medinipur,GEN,M,GEN,63,CPI
Purulia,GEN,M,GEN,54,AIFB
